22
1: 0(0)->2(123)->167(386)->0(461)
2: 0(0)->71(111)->144(383)->91(486)->0(531)
3: 0(0)->117(74)->156(349)->49(428)->28(474)->0(544)
4: 0(0)->168(72)->17(346)->42(421)->59(502)->0(539)
5: 0(0)->158(56)->104(244)->6(285)->186(416)->27(514)->75(570)->0(625)
6: 0(0)->63(43)->51(97)->38(242)->194(297)->177(361)->102(443)->77(503)->0(586)
7: 0(0)->7(34)->93(90)->133(188)->31(278)->170(335)->40(412)->45(492)->24(511)->0(534)
8: 0(0)->55(37)->123(114)->48(154)->113(189)->146(229)->121(263)->32(305)->90(330)->22(377)->0(446)
9: 0(0)->112(42)->115(117)->8(160)->99(225)->136(281)->58(334)->127(397)->82(429)->52(495)->0(533)
10: 0(0)->73(24)->30(73)->35(120)->139(186)->21(220)->69(265)->134(301)->126(348)->78(413)->0(500)
11: 0(0)->4(32)->41(77)->14(169)->176(208)->130(273)->116(315)->154(384)->83(458)->10(492)->110(559)->0(606)
12: 0(0)->157(31)->147(64)->199(94)->166(161)->109(240)->182(311)->164(382)->65(414)->43(439)->190(501)->0(591)
13: 0(0)->1(38)->120(70)->26(104)->143(134)->162(206)->76(245)->142(320)->111(382)->97(470)->105(495)->0(518)
14: 0(0)->106(43)->85(74)->163(220)->100(245)->178(285)->39(331)->37(356)->9(395)->70(448)->61(539)->0(620)
15: 0(0)->132(11)->57(76)->173(105)->94(170)->12(209)->19(242)->95(271)->189(303)->23(349)->29(395)->96(408)->0(470)
16: 0(0)->149(10)->81(27)->67(69)->150(93)->36(113)->137(145)->68(164)->80(200)->64(222)->160(269)->79(311)->179(426)->0(519)
17: 0(0)->46(29)->15(62)->153(105)->54(161)->89(206)->175(249)->56(291)->33(333)->129(363)->141(397)->191(430)->108(560)->0(588)
18: 0(0)->155(18)->44(67)->3(124)->86(166)->131(194)->195(244)->25(284)->180(310)->11(347)->172(387)->148(430)->119(494)->0(505)
19: 0(0)->87(14)->18(63)->50(111)->5(153)->66(191)->165(254)->124(274)->185(300)->169(320)->53(352)->192(378)->107(483)->0(531)
20: 0(0)->140(12)->145(51)->161(94)->92(114)->16(158)->187(201)->171(232)->122(267)->181(309)->103(337)->101(367)->174(438)->0(483)
21: 0(0)->196(22)->13(66)->20(94)->152(145)->60(177)->34(222)->98(250)->62(275)->84(303)->118(327)->159(362)->47(420)->74(458)->197(533)->0(568)
22: 0(0)->72(41)->188(62)->184(80)->135(137)->193(183)->151(221)->125(243)->114(291)->138(329)->88(359)->183(374)->200(416)->128(458)->198(519)->0(584)
7749.49
