40
1: 0(0)->277(163)->0(215)
2: 0(0)->13(120)->134(170)->22(256)->0(293)
3: 0(0)->356(116)->157(134)->209(214)->0(318)
4: 0(0)->394(105)->261(152)->314(176)->163(231)->166(283)->0(386)
5: 0(0)->373(94)->330(108)->91(122)->380(156)->151(200)->56(220)->374(234)->231(457)->0(557)
6: 0(0)->74(105)->249(124)->326(139)->112(154)->175(223)->262(318)->53(557)->284(615)->0(659)
7: 0(0)->340(87)->226(168)->65(188)->118(210)->385(264)->227(371)->103(458)->187(513)->0(594)
8: 0(0)->390(99)->54(130)->197(159)->70(223)->215(255)->48(301)->203(531)->347(651)->0(756)
9: 0(0)->73(92)->395(126)->21(144)->260(187)->30(200)->24(213)->192(238)->351(249)->5(433)->0(536)
10: 0(0)->87(102)->389(114)->82(128)->152(139)->286(153)->57(165)->246(176)->29(229)->182(556)->0(604)
11: 0(0)->341(101)->79(191)->51(204)->122(218)->299(274)->310(531)->273(660)->331(675)->58(711)->0(734)
12: 0(0)->31(90)->171(148)->199(190)->264(203)->320(216)->281(228)->205(267)->353(422)->208(565)->0(621)
13: 0(0)->142(66)->104(171)->333(195)->251(231)->62(245)->6(259)->69(279)->200(306)->116(343)->64(370)->0(489)
14: 0(0)->367(86)->115(97)->265(163)->113(176)->96(188)->342(204)->230(217)->303(248)->135(312)->212(400)->0(477)
15: 0(0)->162(95)->148(152)->254(211)->311(229)->41(295)->8(464)->28(492)->43(546)->80(612)->172(689)->0(746)
16: 0(0)->307(89)->236(169)->247(197)->16(212)->279(239)->111(254)->109(271)->291(387)->114(409)->105(541)->0(659)
17: 0(0)->129(90)->312(134)->354(158)->139(188)->263(203)->71(216)->292(231)->27(244)->319(427)->301(458)->0(529)
18: 0(0)->355(67)->269(165)->306(178)->63(189)->259(203)->282(218)->125(232)->248(270)->37(329)->387(396)->0(500)
19: 0(0)->100(89)->78(155)->40(170)->372(183)->392(194)->253(209)->275(220)->221(268)->325(303)->336(417)->293(469)->0(597)
20: 0(0)->304(69)->288(167)->295(179)->181(199)->297(211)->210(227)->271(276)->190(331)->332(352)->235(399)->309(424)->0(542)
21: 0(0)->287(86)->149(123)->50(136)->346(166)->255(188)->25(199)->377(218)->145(230)->357(312)->216(445)->131(558)->0(624)
22: 0(0)->185(95)->137(108)->302(126)->191(175)->339(218)->382(235)->174(247)->294(259)->268(273)->384(462)->180(494)->0(577)
23: 0(0)->44(82)->106(156)->252(174)->189(208)->362(241)->233(252)->66(326)->240(346)->178(463)->120(476)->244(551)->0(685)
24: 0(0)->324(97)->89(150)->10(164)->4(177)->239(189)->345(202)->110(213)->195(224)->128(295)->20(515)->184(625)->0(657)
25: 0(0)->55(68)->207(167)->168(181)->123(210)->49(255)->154(308)->321(444)->225(467)->45(513)->202(552)->14(583)->0(638)
26: 0(0)->375(67)->391(82)->285(176)->47(211)->242(224)->18(271)->86(320)->124(342)->388(405)->257(423)->119(515)->0(628)
27: 0(0)->317(56)->107(84)->2(116)->173(136)->196(154)->127(166)->316(180)->352(199)->3(228)->344(240)->348(253)->0(322)
28: 0(0)->186(9)->93(46)->144(62)->213(111)->398(145)->361(190)->393(208)->85(229)->77(262)->126(298)->133(341)->0(418)
29: 0(0)->143(26)->164(71)->296(116)->256(127)->23(142)->76(158)->32(169)->363(182)->214(193)->308(244)->335(329)->102(516)->0(633)
30: 0(0)->298(80)->156(103)->147(117)->92(179)->396(194)->11(217)->267(231)->15(243)->327(259)->272(283)->26(371)->386(512)->0(607)
31: 0(0)->368(71)->323(113)->155(138)->95(188)->67(204)->258(225)->366(241)->101(253)->237(265)->369(335)->378(419)->81(456)->0(551)
32: 0(0)->276(62)->243(114)->165(131)->108(148)->360(159)->90(171)->97(197)->52(216)->170(228)->370(255)->219(297)->159(329)->0(391)
33: 0(0)->179(62)->278(161)->9(176)->381(191)->305(236)->350(256)->289(272)->167(331)->130(355)->371(392)->220(442)->183(458)->0(562)
34: 0(0)->222(50)->328(160)->228(199)->42(228)->19(243)->198(271)->379(312)->160(329)->61(348)->94(378)->99(406)->36(580)->0(630)
35: 0(0)->232(86)->218(203)->88(220)->274(232)->223(243)->176(255)->193(334)->343(400)->399(495)->153(524)->241(581)->12(627)->98(704)->0(762)
36: 0(0)->177(70)->141(136)->266(171)->224(182)->138(196)->334(252)->33(277)->300(323)->338(473)->229(514)->234(544)->17(610)->201(655)->0(695)
37: 0(0)->194(43)->315(60)->245(162)->136(181)->217(203)->39(238)->364(286)->1(300)->117(354)->34(392)->206(440)->376(502)->188(560)->0(666)
38: 0(0)->313(36)->72(72)->283(153)->337(195)->68(235)->146(249)->280(303)->59(360)->322(387)->358(426)->397(461)->7(487)->60(564)->0(625)
39: 0(0)->329(32)->250(85)->121(111)->359(138)->46(177)->270(202)->158(265)->290(281)->132(333)->365(368)->83(399)->84(484)->38(520)->0(620)
40: 0(0)->383(30)->75(56)->161(69)->238(81)->211(95)->150(119)->349(140)->318(152)->140(164)->169(179)->204(210)->400(233)->35(298)->0(321)
16630.06
